Magnificacao;Municao;Label;Circ;Round;df;AR;Mun;Nova classificacao;Classificacao numerica;Classificacao morfometrica
10000;9;GSR9mm3-1ME410-1-attrFilt;0,598;0,87;8,503;1,149;4;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;9;GSR9mm4-1ME55-1-attrFilt;0,504;0,517;10,257;1,936;4;Arredondada e baixa circularidade;7;Regular Semi-esferica
10000;9;GSR9mm4-1ME66-1-attrFilt;0,31;0,776;10,201;1,288;4;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;9;GSR9mm4-1ME228-1-attrFilt;0,296;0,663;11,929;1,509;4;Arredondada e muito baixa circularidade;8;Irregular arredondada
10000;9;GSR9mm1-1MD137-1-attrFilt;0,429;0,906;10,263;1,104;4;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;9;GSR9mm3-1MD2-1-attrFilt;0,492;0,524;12,085;1,907;4;Arredondada e baixa circularidade;7;Regular nao esferica
10000;9;GSR9mm3-1MD46-1-attrFilt;0,543;0,906;11,128;1,103;4;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;9;GSR9mm3-1MD73-1-attrFilt;0,399;0,795;9,083;1,257;4;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;9;GSR9mm3-1MD19-1-attrFilt;0,646;0,88;11,815;1,137;4;Muito arredondado e Moderamente circular;2;Regular Semi-esferica
10000;9;GSR9mm5-1ME648-1-attrFilt;0,636;0,603;9,07;1,660;4;Arredondada e Moderadamente circular;6;Regular Semi-esferica
10000;9;GSR9mm-2-1ME852-1-attrFilt;0,482;0,815;10;1,227;4;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;9;GSR9mm-2-1ME869-1-attrFilt;0,464;0,791;13,154;1,264;4;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;9;GSR9mm5-1ME579-1-attrFilt;0,66;0,663;8,883;1,508;4;Arredondada e Moderadamente circular;6;Regular Semi-esferica
10000;9;GSR9mm5-1ME607-1-attrFilt;0,589;0,815;6,485;1,227;4;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;9;GSR9mm5-1ME860-1-attrFilt;0,778;0,9;3,773;1,111;4;Muito arredondada e muito circular;1;Regular esferica
10000;9;GSR9mm5-1ME864-1-attrFilt;0,629;0,525;9,134;1,906;4;Arredondada e Moderadamente circular;6;Regular Semi-esferica
10000;9;GSR9mm5-1ME1087-1-attrFilt;0,635;0,6;9,01;1,668;4;Arredondada e Moderadamente circular;6;Regular Semi-esferica
10000;9;GSR9mm5-1ME1341-1-attrFilt;0,643;0,743;5,357;1,347;4;Muito arredondado e Moderamente circular;2;Regular nao esferica
10000;9;GSR9mm5-1ME1342-1-attrFilt;0,679;0,795;6,933;1,258;4;Muito arredondado e Moderamente circular;2;Regular nao esferica
10000;0.40;GSR0.401-10MD1129-1-attrFilt;0,376;0,465;8,777;2,152;1;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
10000;0.40;GSR0.402-10MD95-1-attrFilt;0,727;0,712;5,313;1,404;1;Muito arredondada e muito circular;1;Regular esferica
10000;0.40;GSR0.402-10MD109-1-attrFilt;0,362;0,518;7,899;1,930;1;Arredondada e muito baixa circularidade;8;Irregular
10000;0.40;GSR0.404-10MD30-1-attrFilt;0,607;0,863;6,032;1,158;1;Muito arredondado e Moderamente circular;2;Regular nao esferica
10000;0.40;GSR0.404-10ME71-1-attrFilt;0,503;0,784;8,578;1,275;1;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;0.40;GSR0.404-10ME146-1-attrFilt;0,558;0,465;9,632;2,150;1;Sub arredondada e baixa circularidade;9;IrRegular nao esferica
10000;0.40;GSR0.405-10MD109-1-attrFilt;0,184;0,46;11,851;2,173;1;Sub arredondada e muito baixa circularidade;12;Irregular
10000;0.40;GSR0.405-10MD392-1-attrFilt;0,625;0,641;7,132;1,560;1;Arredondada e Moderadamente circular;6;Regular Semi-esferica
10000;5.56;GSR5.561-10ME38-1-attrFilt;0,424;0,659;8,453;1,518;2;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;5.56;GSR5.561-10ME54-1-attrFilt;0,394;0,77;11,753;1,298;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;5.56;GSR5.561-10ME387-1-attrFilt;0,429;0,602;10,797;1,662;2;Arredondada e muito baixa circularidade;8;Irregular
10000;5.56;GSR5.561-10ME395-1-attrFilt;0,35;0,673;8,056;1,486;2;Arredondada e muito baixa circularidade;8;Regular nao esferica
