t;x;y;z;a;;;;
2,93208E+14;9.064.072;39.366.455;267.865;3;;1654638161783;;
2,93208E+14;8.846.207;4.002.487;2.663.086;3;;1654638161788;;
2,93208E+14;8.506.226;39.222.717;2.623.581;3;;1654638161793;;
2,93208E+14;8.172.226;38.516.388;2.647.522;3;;1654638161798;;
2,93208E+14;7.935.211;38.660.126;27.456.818;3;;1654638161803;;
2,93208E+14;78.526;38.935.394;28.426.514;3;;1654638161808;;
2,93208E+14;78.454.285;3.903.122;30.126.343;3;;1654638161813;;
2,93208E+14;7.803.528;38.947.449;31.850.128;3;;1654638161817;;
2,93208E+14;76.802.216;39.103.088;35.238.037;3;;1654638161822;;
2,93208E+14;7.590.439;3.966.568;37.751.923;3;;1654638161827;;
2,93208E+14;7.526.993;40.743.103;4.094.818;3;;1654638161832;;
2,93208E+14;74.240.417;41.233.826;45.221.863;3;;1654638161837;;
2,93208E+14;743.602;41.700.745;513.031;3;;1654638161842;;
2,93208E+14;74.539.795;42.682.343;5.856.949;3;;1654638161847;;
2,93208E+14;72.600.403;4.374.771;64.890.137;3;;1654638161852;;
2,93208E+14;6.752.472;4.535.187;72.348.175;3;;1654638161857;;
2,93208E+14;5.965.973;45.938.416;8.009.338;3;;1654638161862;;
2,93208E+14;5.192.642;4.638.138;8.958.633;3;;1654638161867;;
2,93208E+14;4.515.091;4.749.466;101.401.825;3;;1654638161872;;
2,93208E+14;38.123.932;4.793.762;11.272.629;3;;1654638161877;;
2,93208E+14;3.127.655;47.949.677;12.248.276;3;;1654638161882;;
2,93208E+14;26.488.037;47.446.747;1.301.561;3;;1654638161887;;
2,93208E+14;243.573;45.902.557;13.617.752;3;;1654638161892;;
2,93208E+14;2.270.523;4.342.453;14.234.268;3;;1654638161896;;
2,93208E+14;20.789.948;43.759.766;14.568.253;3;;1654638161901;;
2,93208E+14;1.925.766;4.730.316;14.516.769;3;;1654638161906;;
2,93208E+14;16.588.135;4.991.287;14.271.378;3;;1654638161911;;
2,93208E+14;14.505.157;50.834.656;13.865.555;3;;1654638161916;;
2,93208E+14;14.684.753;51.157.837;13.378.326;3;;1654638161921;;
2,93208E+14;16.743.622;52.259.216;13.018.005;3;;1654638161926;;
2,93208E+14;18.838.654;54.916.687;12.554.733;3;;1654638161931;;
2,93208E+14;1.946.106;5.725.113;12.001.663;3;;1654638161936;;
2,93208E+14;20.215.302;5.868.759;11.448.608;3;;1654638161941;;
2,93208E+14;21.783.447;58.903.046;11.077.499;3;;1654638161946;;
2,93208E+14;25.171.356;57.562.256;10.719.574;3;;1654638161951;;
2,93208E+14;29.648.438;5.501.251;10.334.106;3;;1654638161956;;
2,93208E+14;33.179.932;523.909;9.915.115;3;;1654638161961;;
